source,author,title,description,url,urlToImage,publishedAt,content,company,extracted_metrics,article_length,title_length,has_revenue_mention,has_growth_mention,has_partnership_mention,has_acquisition_mention
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,2025-01-08 00:28:27+00:00,[Removed],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",9.0,9.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}",Alistair Barr,Stripe CFO joins the board of $3 billion AI startup Vercel,"Steffan Tomlinson has experience taking tech startups public. He was previously CFO at Palo Alto Networks, Confluent, and Google Cloud.",https://www.businessinsider.com/stripe-cfo-steffan-tomlinson-joins-vercel-board-2024-12,https://i.insider.com/6760d7616c531c315b88b35d?width=1200&format=jpeg,2024-12-17 16:01:01+00:00,"Steffan Tomlinson (right) joined Vercel's board in December 2024. Guillermo Rauch (center) is the CEO, while Marten Abrahamsen (right) is the CFO.Vercel  <ul><li>Vercel said it added Steffan Tomlinso… [+3526 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,58.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}","kyle@ktwilson.ca (Kyle Wilson,Michelle Mark)","Microsoft certifications can boost your skills in job fields like IT, AI, data science, and more. Here's how they work.","Microsoft certifications are for those looking to further their job skills with tech platforms like Azure, Windows, and more. Here's how they work.",https://www.businessinsider.com/microsoft-certifications,https://i.insider.com/673535ffede4eeae392758a8?width=1200&format=jpeg,2025-01-05 09:31:01+00:00,"Microsoft certifications are recognized industry-wide, and are a way for professionals to tangibly demonstrate that they have expertise in a given subject area.  Microsoft certifications are geared t… [+4438 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,119.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}",Kyle Wilson,Microsoft's CEO: A timeline of the company's leadership and the legacies of executives from Bill Gates to Satya Nadella,Satya Nadella has been Microsoft's CEO since 2014. The title was previously held by Steve Ballmer and Bill Gates. Look back on each leader's legacy.,https://www.businessinsider.com/microsoft-ceo,https://i.insider.com/6706b4663f2165d716df929b?width=1200&format=jpeg,2025-01-05 03:28:01+00:00,"Satya Nadella has been Microsoft's CEO since 2014, overseeing the company's shift to cloud computing and AI development.Stephen Brashear/Getty Images  <ul><li>Microsoft has had three CEOs since its f… [+9107 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,119.0,False,False,False,False
"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,Acer brings AMD chips to its Swift Go Copilot Plus laptops,"At CES 2025, Acer revealed two Copilot Plus laptops with AMD chips: the Swift Go 14 AI and Swift Go 16 AI.",https://www.theverge.com/2025/1/6/24335105/acer-amd-chips-swift-go-copilot-plus-laptops-ces-2025,https://cdn.vox-cdn.com/thumbor/wKR_Z6qgMQKEK7Y3Q9kPF31KMXg=/0x0:900x700/1200x628/filters:focal(450x350:451x351)/cdn.vox-cdn.com/uploads/chorus_asset/file/25815628/acer_swift_go_16_copilot.png,2025-01-06 19:45:00+00:00,Acer brings AMD chips to its Swift Go Copilot Plus laptops  Acer brings AMD chips to its Swift Go Copilot Plus laptops   / The 16- and 14-inch laptops come with AMDs Ryzen AI 300-series processor.  B… [+1982 chars],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,58.0,False,False,False,False
"{'id': None, 'name': 'Yahoo Entertainment'}",Will Shanklin,LG updates its Gram laptop line ahead of CES 2025,"LG’s Gram laptops are back for another round of updates ahead of CES 2025. A decade into the thin and light lineup’s existence in LG’s portfolio, the latest models load up on AI (surprise!) and boost performance while maintaining their trademark portability.
…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d3b5f7da-8610-4e8b-a04d-f765a10ac342,,2024-12-31 09:00:49+00:00,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",213.0,49.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}",Ana Altchek,I work at Microsoft and teach a Stanford Online course on AI. These are my tips for non-technical workers.,There are two tracks I recommend for non-technical professionals to gain impact with AI: skill up or become an expert in the technology in your field.,https://www.businessinsider.com/microsoft-employee-stanford-online-ai-class-tips-non-technical-workers-2024-11,https://i.insider.com/673cd7bf192f525898596a5e?width=1200&format=jpeg,2024-12-22 09:27:02+00:00,I work at Microsoft and teach a Stanford Online course about generative AI.Aditya Challapally  <ul><li>Aditya Challapally teaches a Stanford Online course on generative AI for tech-adjacent professio… [+5269 chars],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,106.0,False,False,False,False
"{'id': 'the-verge', 'name': 'The Verge'}",Jay Peters,Dana White is joining Meta’s board of directors,"Meta is adding three new people to its board of directors: UFC president and CEO Dana White, Exor CEO John Elkann, and technology investor Charlie Songhurst.",https://www.theverge.com/2025/1/6/24337670/meta-board-of-directors-dana-white-ufc,https://cdn.vox-cdn.com/thumbor/u9jTTxbbwkMs2LDY42bFs8nWaFs=/0x0:4833x3222/1200x628/filters:focal(2417x1611:2418x1612)/cdn.vox-cdn.com/uploads/chorus_asset/file/25820258/2148549709.jpg,2025-01-06 22:53:33+00:00,"Dana White is joining Metas board of directors  Dana White is joining Metas board of directors   / Mark Zuckerberg says he has admired White and his ability to build the UFC.  ByJay Peters, a news ed… [+1999 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,47.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}",Steven John,"What to know about Microsoft Azure, the cloud computing platform and computing, networking, and storage services",Microsoft Azure offers a suite of cloud computing services with a competitive pay-as-you-go pricing model. Some services can even be used for free.,https://www.businessinsider.com/microsoft-azure,https://i.insider.com/677424699de00e389eb3ffcf?width=1200&format=jpeg,2025-01-09 03:14:02+00:00,Microsoft Azure is Microsoft's cloud computing competitor to Amazon Web Services and Google Cloud Platform.Feature China/Future Publishing via Getty Images  <ul><li>Microsoft Azure is Microsoft's vau… [+4349 chars],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,112.0,False,False,False,False
"{'id': None, 'name': 'Gizmodo.com'}",Thomas Maxwell,Microsoft Looking to Pursue an Open Relationship With OpenAI,"Microsoft incubated OpenAI, but the relationship may be turning cold.",https://gizmodo.com/microsoft-looking-to-pursue-an-open-relationship-with-openai-2000542850,https://gizmodo.com/app/uploads/2023/05/cb79fa87c30c913a9fbbf251632de056.jpg,2024-12-23 21:10:50+00:00,"Microsoft and OpenAI have had something of a symbiotic relationship, with the former giving billions of capital to a startup AI lab and in return gaining early access to cutting-edge models that are … [+3153 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,60.0,False,False,False,False
"{'id': None, 'name': 'Gizmodo.com'}",Matthew Gault,Where Will All of Big Tech’s Nuclear Waste Go?,Nuclear waste is spread across 94 different nuclear sites in the U.S. and has no permanent home. Big Tech is going to add more to the pile.,https://gizmodo.com/where-will-all-of-big-techs-nuclear-waste-go-2000541209,https://gizmodo.com/app/uploads/2024/12/1620px-San_Onofre_Nuclear_Generating_Station_2013_photo_Don_Ramey_Logan.jpg,2024-12-21 14:00:46+00:00,"Theres a field in Wiscasset, Maine (Population 3,742) protected by armed guards. On the field is a chain link fence surrounding a pad of concrete. On the pad are 60 cement and steel canisters that co… [+13991 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",215.0,46.0,False,False,False,False
"{'id': None, 'name': 'VentureBeat'}",Dean Takahashi,How HP sees the era of the AI PC | Alex Cho,"PC makers are betting everything on the AI bandwagon. At the CES 2025 tech trade show in Las Vegas last week, AI technology was everywhere.",https://venturebeat.com/games/how-hp-sees-the-era-of-the-ai-pc-alex-cho/,https://venturebeat.com/wp-content/uploads/2025/01/HP-EliteBook-Ultra-G1i-14-inch-Notebook-Next-Gen-AI-PC_FrontLeft.jpg?w=1024?w=1200&strip=all,2025-01-14 14:30:00+00:00,Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More  PC makers are betting everything on the AI bandwagon. At the CES 2025 t… [+24939 chars],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",215.0,43.0,False,False,False,False
"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,Getty Images and Shutterstock are merging into one stock photo powerhouse,"Getty Images and Shutterstock are merging in a deal valued at $3.7 billion, allowing the companies to expand their stock image libraries.",https://www.theverge.com/2025/1/7/24338112/getty-images-shutterstock-merging-stock-photo-powerhouse,https://cdn.vox-cdn.com/thumbor/3GMJU6cO5q3tnoeH9lwinsHVUHQ=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/24951226/236806_Getty_Images_AI_Images_CVirginia.jpg,2025-01-07 15:12:35+00:00,Getty Images and Shutterstock are merging into one stock photo powerhouse  Getty Images and Shutterstock are merging into one stock photo powerhouse   / The $3.7 billion deal comes amid a rise in tex… [+1747 chars],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,73.0,False,False,False,False
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,OpenAI Is Having a Rough Week—It Could Be the Start to a Rough Year,"The AI company has suffered a slew of weird scandals in the past few days, but they may be the least of its problems.",https://gizmodo.com/openai-is-having-a-rough-week-it-could-be-the-start-to-a-rough-year-2000547575,https://gizmodo.com/app/uploads/2025/01/Sam-Altman-being-interviewed-by-Fox-Business.jpg,2025-01-08 21:50:40+00:00,"We’re only one week into 2025, but, already, OpenAI is having a tough year. Here is everything that’s gone wrong for the influential company in the last seven days, and a quick look at the potential … [+7769 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,67.0,False,False,False,False
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,2025-01-03 21:22:08+00:00,[Removed],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",9.0,9.0,False,False,False,False
"{'id': None, 'name': 'Yahoo Entertainment'}",Cherlynn Low,"CES 2025: The press conferences and new tech we're expecting to see from Samsung, NVIDIA, LG and more","We're here! The Engadget CES 2025 team has mostly arrived in Las Vegas, where we’ll be covering tech’s biggest annual conference. Our war room is open, the team has been seeing products and the coverage will ramp up in just a few short hours. Still, the show …",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d12ccc40-d297-486a-bdf6-cd9c96a15519,,2025-01-06 00:56:24+00:00,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",213.0,101.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}",Ashley Stewart,Leaked Amazon Web Services org chart shows the 11 executives helping Matt Garman take on cloud and AI competition,"Garman took the top job at the cloud giant in June. He's made some changes since then, including hiring a new CMO.",https://www.businessinsider.com/aws-org-chart-executives-under-ceo-matt-garman-2025-1,https://i.insider.com/677eadbcf83fcec7e5b50ab2?width=1200&format=jpeg,2025-01-08 21:28:13+00:00,"AWS CEO Matt GarmanAmazon  <ul><li>Matt Garman leads AWS with 11 executives amid rising cloud and AI competition.</li><li>Garman, an Amazon veteran, became AWS CEO in June, succeeding Adam Selipsky.<… [+4400 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,113.0,False,False,False,False
"{'id': None, 'name': 'Yahoo Entertainment'}",Cherlynn Low,"CES 2025: The new tech we're expecting to see from Samsung, NVIDIA, LG and more in Las Vegas","Time to get into the habit of writing ""2025"" instead of 2024, and the year may have just begun, but the Engadget team is already working hard for CES 2025. This weekend, many from the Engadget team will be flying to Las Vegas, where we’ll be covering tech’s b…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_407f1c3a-990c-4cff-9fb0-71199642f3eb,,2025-01-03 20:22:37+00:00,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",213.0,92.0,False,False,False,False
"{'id': None, 'name': 'Yahoo Entertainment'}",Jane Lanhee Lee,IPhone Maker Hon Hai Clinches Sales Beat on Strong AI Demand,"(Bloomberg) -- Hon Hai Precision Industry Co., the assembly partner of Nvidia Corp. and Apple Inc., reported better-than-expected sales growth last quarter...",https://finance.yahoo.com/news/iphone-maker-hon-hai-clinches-082535817.html,https://s.yimg.com/ny/api/res/1.2/5J1Dogy5CbjY.RZJWBD3WQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_technology_68/ec723b9b813d0d0cec5f8730707aa52c,2025-01-05 08:25:35+00:00,"(Bloomberg) -- Hon Hai Precision Industry Co., the assembly partner of Nvidia Corp. and Apple Inc., reported better-than-expected sales growth last quarter as the AI infrastructure buildout continued… [+1419 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': True, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,60.0,False,True,False,False
"{'id': None, 'name': 'Gizmodo.com'}",Thomas Maxwell,"Desperate for Bing Users, Microsoft Creates Sneaky Search Interface That Looks Like Google",What more can you say? This is just sad.,https://gizmodo.com/desperate-for-bing-users-microsoft-creates-sneaky-search-interface-that-looks-like-google-2000546313,https://gizmodo.com/app/uploads/2023/02/fcd07ccb259296af0d82e285ac30f610.jpg,2025-01-06 17:15:37+00:00,"You have to give Microsoft some credit for not giving up in search, but it does not seem Bing has ever quite been the success that it hoped. Google remains far and away the largest search engine in t… [+3050 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,90.0,False,False,False,False
"{'id': None, 'name': 'VentureBeat'}",Dean Takahashi,"Nvidia open-sources Run:ai, the software it acquired for $700M to help companies manage GPUs for AI","Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More Nvidia has completed its acquisition of Run:ai, a software company that makes it easier for customers to orchestrate GPU clouds for …",https://venturebeat.com/ai/nvidia-acquires-software-maker-runai-to-orchestrate-gpu-clouds-for-ai/,https://venturebeat.com/wp-content/uploads/2024/12/runai.jpg?w=1024?w=1200&strip=all,2024-12-30 14:00:00+00:00,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More  Nvidia has completed its acquisition of Run:ai, a software company that… [+4026 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': True}",214.0,99.0,False,False,False,True
"{'id': 'business-insider', 'name': 'Business Insider'}","Emma Witman,Michelle Mark",What is GitHub? Everything to know about Microsoft's software development platform and why it's so popular,"GitHub is a platform over 100 million developers use to build software. It's a subsidiary of Microsoft, and has both free and paid versions.",https://www.businessinsider.com/github,https://i.insider.com/67210829a0a0cc14f2249bae?width=1200&format=jpeg,2025-01-14 11:41:03+00:00,"Jonathan Raa/NurPhoto via Getty Images  <ul><li>GitHub is Microsoft's code-hosting platform that lets users collaborate on open-source projects.</li><li>GitHub has a free version, and several tiers o… [+6241 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': True, 'has_acquisition_mention': False}",214.0,106.0,False,False,True,False
"{'id': None, 'name': 'Slashdot.org'}",EditorDavid,New York Times Recognizes Open-Source Maintainers With 2024 'Good Tech' Award,"This week New York Times technology columnist Kevin Roose published his annual ""Good Tech"" awards to ""shine the spotlight on a few tech projects that I think contributed positively to humanity."" 

And high on the list is ""Andres Freund, and every open-source …",https://news.slashdot.org/story/25/01/06/0420212/new-york-times-recognizes-open-source-maintainers-with-2024-good-tech-award,https://a.fsdn.com/sd/topics/opensource_64.png,2025-01-06 05:49:00+00:00,"This week New York Times technology columnist Kevin Roose published his annual ""Good Tech"" awards to ""shine the spotlight on a few tech projects that I think contributed positively to humanity.""And h… [+2536 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,77.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}","Katie Balevic,Lloyd Lee","AI data centers are making your electricity supply worse and could damage your home, new study says",Your electric supply might be paying the price for the AI boom as data centers sprout up across the nation.,https://www.businessinsider.com/ai-data-centers-electricity-supply-risk-2024-12,https://i.insider.com/6770746b4057fb47cf57b99b?width=1200&format=jpeg,2024-12-29 19:59:31+00:00,"AI data centers are gobbling up power, impacting the electricity supply.Arin Yoon for The Washington Post via Getty Images  <ul><li>AI data centers are consuming significant power, impacting the elec… [+2465 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,99.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}",Kyle Wilson,"Inside the history of Activision Blizzard, the video game maker Microsoft bought for $69 billion","Microsoft acquired Activision Blizzard for $69 billion, becoming the world's third-largest gaming company. Read about the video game maker's history.",https://www.businessinsider.com/activision-blizzard,https://i.insider.com/64e49800b698ac0019dee8b7?width=1200&format=jpeg,2025-01-08 03:08:01+00:00,"Activision Blizzard, owned by Microsoft, is the video game maker behind popular franchises like Call of Duty.AP Photo/Jae C. Hong  <ul><li>Microsoft acquired Activision Blizzard for $69 billion, maki… [+5835 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': True}",214.0,96.0,False,False,False,True
"{'id': 'business-insider', 'name': 'Business Insider'}","Riddhi Kanetkar,Hasan Chowdhury",Big Tech's AI bets are driving a nuclear renaissance. Not everyone is buying the hype.,"As Big Tech pivots to nuclear to power its AI boom, startups in the sector have to grapple with these key challenges.",https://www.businessinsider.com/big-tech-nuclear-startups-ai-data-center-vc-boom-2024-12,https://i.insider.com/676943f3e3e473ef263ab64a?width=1200&format=jpeg,2024-12-30 08:30:02+00:00,"Big Tech has tapped clean energy sources to power the AI boom, which has invigorated interest in the nuclear sector.RelaxFoto.de/Getty Images  <ul><li>Big Tech is investing in nuclear power to meet A… [+7480 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,86.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}",Kwan Wei Kevin Tan,Steve Ballmer is richer than Warren Buffett. But his portfolio depends mostly on one stock.,The former Microsoft CEO said his investment strategy was partly influenced by Buffett.,https://www.businessinsider.com/steve-ballmer-portfolio-microsoft-less-private-equity-stock-diversification-investing-2024-12,https://i.insider.com/6768dfb29de00e389eb2f0fb?width=1200&format=jpeg,2024-12-23 07:04:48+00:00,"""Microsoft's outperformed just about every other asset I could have owned,"" former Microsoft CEO Steve Ballmer told The Wall Street Journal in an interview published Sunday.Steph Chambers via Getty I… [+3014 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,91.0,False,False,False,False
